Date,beta_1,beta_2,beta_3,beta_4,beta_5,SP500
15-Jan-1997,0.001631536,0.079917864,0.006339821,0.001874905,0.003016451,0.012428856
16-Jan-1997,0.001524392,0.078747064,0.006039972,0.001737492,0.003036395,0.0150608
17-Jan-1997,0.001604523,0.068663877,0.006309942,0.001824091,0.002802945,0.014427431
20-Jan-1997,0.001474638,0.052519115,0.005690918,0.001884944,0.002542246,0.011759163
21-Jan-1997,0.001419911,0.047590879,0.005105144,0.001801681,0.002501789,0.012643109
22-Jan-1997,0.001316821,0.03912076,0.005075072,0.001691198,0.00225131,0.010456116
23-Jan-1997,0.001249571,0.030593042,0.005481104,0.001996791,0.002153478,0.009665498
24-Jan-1997,0.001682589,0.065226706,0.004980609,0.001812874,0.002246682,0.017830607
27-Jan-1997,0.002545614,0.068266082,0.005351815,0.001674695,0.002741124,0.024961096
28-Jan-1997,0.002945904,0.113522293,0.005951585,0.002986093,0.002463328,0.030533682
29-Jan-1997,0.002546623,0.108386536,0.007422392,0.002650056,0.002280569,0.029450805
30-Jan-1997,0.002208325,0.093493432,0.006836648,0.002845932,0.002106619,0.02225922
31-Jan-1997,0.00197328,0.073986361,0.006091851,0.003543903,0.001905822,0.01520452
03-feb-97,0.001915295,0.058204107,0.005623401,0.003268699,0.001804671,0.014741858
04-feb-97,0.001735656,0.066639768,0.005403336,0.003240234,0.001639413,0.015460782
05-feb-97,0.001627625,0.055924744,0.005349805,0.002962917,0.001737053,0.014683364
06-feb-97,0.001570081,0.091300868,0.005952448,0.002659877,0.002456135,0.026632442
07-feb-97,0.001760998,0.072020855,0.005365189,0.00237552,0.002347856,0.024383856
10-feb-97,0.001611521,0.052166217,0.005780042,0.002153121,0.002402176,0.017330722
11-feb-97,0.002007597,0.10374253,0.005164051,0.002067861,0.00216306,0.02187686
12-feb-97,0.002128575,0.076919514,0.00531038,0.002092232,0.00209899,0.018748851
13-feb-97,0.002074049,0.065008271,0.005065049,0.002105738,0.002109465,0.01271085
14-feb-97,0.001857841,0.059961804,0.004820879,0.002035259,0.002033352,0.010018725
18-feb-97,0.001853996,0.050576737,0.004601204,0.001971862,0.001849407,0.013750577
19-feb-97,0.001861297,0.061842786,0.004143999,0.002972582,0.001707882,0.011156646
20-feb-97,0.001755963,0.08591928,0.003840605,0.003206712,0.001572835,0.015695473
21-feb-97,0.002019814,0.100777443,0.003454893,0.003052342,0.001436718,0.02618837
24-feb-97,0.00193475,0.074817868,0.003143129,0.002784376,0.001412957,0.026824755
25-feb-97,0.001757214,0.059280484,0.002839073,0.003033608,0.001346145,0.019944661
26-feb-97,0.001623308,0.048187767,0.002633307,0.002887589,0.00125164,0.018918297
27-feb-97,0.001783282,0.079207667,0.002554015,0.002994498,0.001438196,0.025703943
28-feb-97,0.001751463,0.094239363,0.002337869,0.002745849,0.001389683,0.038042332
03-mar-97,0.001764315,0.085630719,0.002195855,0.002443559,0.001286682,0.041386985
04-mar-97,0.001703562,0.073844459,0.002442175,0.002239034,0.001182581,0.034235168
05-mar-97,0.001641913,0.065887627,0.003336133,0.00225214,0.001142141,0.037927222
06-mar-97,0.001680477,0.047905844,0.003276501,0.002045134,0.001292863,0.026029288
07-mar-97,0.001907388,0.076263442,0.003305028,0.003565632,0.001272032,0.029260627
10-mar-97,0.002707863,0.055996613,0.003136047,0.003135405,0.001221161,0.022756102
11-mar-97,0.002298948,0.046847121,0.00286632,0.002846405,0.001153841,0.016830715
12-mar-97,0.002001328,0.048230838,0.002647993,0.002553831,0.001065649,0.019401864
13-mar-97,0.00244945,0.093713567,0.003027158,0.002804358,0.000987908,0.026844261
14-mar-97,0.002383886,0.105504308,0.002904436,0.002595978,0.000957771,0.045298959
17-mar-97,0.002111079,0.084445244,0.003605898,0.002752875,0.000895008,0.038078526
18-mar-97,0.001938194,0.086442116,0.003812461,0.002781904,0.000883871,0.03353789
19-mar-97,0.001834441,0.089711573,0.005035002,0.00315207,0.000868176,0.039684048
20-mar-97,0.001784385,0.098966922,0.004523905,0.003884204,0.00081426,0.042760946
21-mar-97,0.001839616,0.078952512,0.004592584,0.003573614,0.001063009,0.044322711
24-mar-97,0.001707913,0.056618955,0.005232591,0.003156647,0.001331674,0.039286699
25-mar-97,0.002067139,0.059088803,0.006072787,0.002845041,0.001258506,0.030077182
26-mar-97,0.002109618,0.046322404,0.005668145,0.002745323,0.001290795,0.030718068
27-mar-97,0.001826718,0.035137295,0.006028676,0.002663664,0.001194332,0.027609756
31-mar-97,0.001744834,0.078932237,0.007464272,0.002691332,0.001210525,0.049338959
01-Apr-1997,0.002430827,0.149684252,0.006785772,0.002398215,0.001138822,0.074750538
02-Apr-1997,0.002622111,0.109052243,0.007671367,0.00242704,0.001054894,0.063134114
03-Apr-1997,0.002299863,0.106009401,0.007434929,0.002212383,0.001197586,0.074052138
04-Apr-1997,0.002471101,0.103175925,0.006701258,0.00200999,0.00117604,0.066259922
