Dates,beta_1,beta_2,beta_3,beta_4,beta_5
06-nov-96,0.154002264,-0.019631392,0.207887304,-0.008040278,-0.016499502
07-nov-96,0.152482095,-0.001596181,0.211092153,-0.011659165,-0.015919767
08-nov-96,0.154769221,-0.02489974,0.209952648,-0.014134365,-0.016923918
11-nov-96,0.154898916,-0.023256053,0.208709641,-0.013686607,-0.017418184
12-nov-96,0.155972142,-0.026755543,0.20894532,-0.013776985,-0.016117103
13-nov-96,0.15644344,-0.03635463,0.206964768,-0.014705808,-0.018722737
14-nov-96,0.156499268,-0.054466515,0.206572053,-0.018314553,-0.020326896
15-nov-96,0.154825416,-0.040021791,0.205570219,-0.019354396,-0.021518564
18-nov-96,0.153547704,-0.027792551,0.203182738,-0.020973024,-0.021794679
19-nov-96,0.155116777,-0.033911194,0.198895817,-0.020464605,-0.02340158
20-nov-96,0.156467456,-0.020497827,0.200260429,-0.021298646,-0.02355513
21-nov-96,0.159987177,-0.031660519,0.199018352,-0.020764714,-0.023308859
22-nov-96,0.161786558,-0.042893637,0.197855979,-0.019842604,-0.024502524
25-nov-96,0.157625113,-0.014803992,0.195866766,-0.018720402,-0.027569217
26-nov-96,0.167000717,-0.015377512,0.19860606,-0.015093296,-0.028034409
27-nov-96,0.168484052,-0.018052614,0.199488291,-0.010978808,-0.027770169
29-nov-96,0.169358218,-0.01936977,0.200199075,-0.009653284,-0.028655107
02-Dec-1996,0.171465711,-0.013629144,0.200550139,-0.009242214,-0.028523602
03-Dec-1996,0.176456453,-0.008506192,0.207425898,-0.008128927,-0.02186088
04-Dec-1996,0.177473667,-0.029259335,0.200186601,-0.007160698,-0.025043176
05-Dec-1996,0.17677621,-0.018625269,0.199061743,-0.005231076,-0.025310073
06-Dec-1996,0.176672035,-0.011038466,0.200111377,-0.005030938,-0.022199689
09-Dec-1996,0.17744194,-0.030774833,0.199360574,-0.007213684,-0.024509617
10-Dec-1996,0.175868327,-0.024702201,0.200130695,-0.006529059,-0.02443229
11-Dec-1996,0.169366374,0.021287057,0.209004468,-0.002163465,-0.018583046
12-Dec-1996,0.1709185,0.03309674,0.214761877,0.00655437,-0.016836135
13-Dec-1996,0.171212761,0.037978948,0.211926777,0.003524333,-0.018114301
16-Dec-1996,0.179157165,0.037045729,0.208098417,0.004833196,-0.015529988
17-Dec-1996,0.177699654,0.023892384,0.207772563,0.00332947,-0.016838445
18-Dec-1996,0.17556741,0.002996173,0.208947268,0.001500897,-0.018015215
19-Dec-1996,0.171499293,-0.000434461,0.207623176,-0.00271887,-0.021905862
20-Dec-1996,0.174024646,-0.011150888,0.204025989,-0.008766737,-0.024713076
23-Dec-1996,0.173210024,-0.001261587,0.206423688,-0.009052847,-0.019036327
24-Dec-1996,0.173531586,-0.011783278,0.204958971,-0.010986353,-0.019530603
26-Dec-1996,0.171314431,-0.009814906,0.201391123,-0.011646549,-0.022099499
27-Dec-1996,0.169079985,0.005210316,0.201167744,-0.012040092,-0.021552426
30-Dec-1996,0.16799471,0.015101358,0.209107229,-0.006160997,-0.015022241
31-Dec-1996,0.169021096,0.035959533,0.214752157,-0.008598264,-0.009275922
02-Jan-1997,0.171764958,0.025453558,0.207189178,-0.009074609,-0.015395325
03-Jan-1997,0.171779052,0.00093108,0.199464994,-0.007917839,-0.020935664
06-Jan-1997,0.169129201,0.019801418,0.210680703,-0.004188204,-0.016738279
07-Jan-1997,0.168013147,0.009401828,0.205563686,-0.003631828,-0.021296158
08-Jan-1997,0.169609023,0.010246508,0.203088902,-0.00191893,-0.020195082
09-Jan-1997,0.165508637,0.031729364,0.212407235,0.003128322,-0.016901873
10-Jan-1997,0.165597312,0.023444303,0.209167626,0.002122379,-0.017679208
13-Jan-1997,0.165727929,0.031230469,0.212720708,0.003815305,-0.016396709
14-Jan-1997,0.164212796,0.026352518,0.211960305,0.004763978,-0.01989851
15-Jan-1997,0.164222193,0.029299687,0.208562554,0.003653067,-0.023836398
16-Jan-1997,0.166498692,0.024708191,0.20295565,0.000597911,-0.025880849
17-Jan-1997,0.166321599,0.011242671,0.205294954,-0.002327649,-0.025028374
20-Jan-1997,0.165197357,0.009707223,0.204950409,-0.000468854,-0.022292559
21-Jan-1997,0.165006567,0.000942584,0.200900854,-0.001758489,-0.022345845
22-Jan-1997,0.166044374,-0.013638012,0.195168858,-0.005887388,-0.024731772
23-Jan-1997,0.162292913,0.013045379,0.197686779,-0.005626607,-0.021394171
24-Jan-1997,0.167791501,0.01609191,0.204516705,-0.004723769,-0.016262602
27-Jan-1997,0.163046867,0.041936908,0.198081897,0.002861655,-0.016278268
28-Jan-1997,0.164532383,0.041735563,0.189288895,0.003221498,-0.018133407
29-Jan-1997,0.165337972,0.037353778,0.186949978,-0.001198618,-0.016915058
30-Jan-1997,0.164216864,0.026895098,0.1878559,-0.007480434,-0.017427013
31-Jan-1997,0.166540479,0.016655081,0.191423591,-0.004898713,-0.015842387
03-feb-97,0.165965323,0.026071768,0.188075043,-0.001073062,-0.016304208
04-feb-97,0.167182466,0.018476052,0.184053512,-0.00305446,-0.019579365
05-feb-97,0.166823697,0.042366178,0.191835074,-0.001879538,-0.013803775
06-feb-97,0.16974373,0.028613928,0.191069273,-0.001431479,-0.011751481
07-feb-97,0.170595231,0.00768781,0.185269463,-0.002337067,-0.01541196
10-feb-97,0.166915207,0.039852153,0.185600556,-0.000139048,-0.015651385
11-feb-97,0.170187166,0.019671767,0.180872395,-0.003115152,-0.018258636
12-feb-97,0.167665009,0.015978936,0.177892777,-0.005992745,-0.02130257
13-feb-97,0.166532235,0.015867766,0.182119249,-0.008212234,-0.019146949
14-feb-97,0.1689777,0.009827055,0.179305163,-0.005897161,-0.019927533
18-feb-97,0.166613397,0.021288625,0.180933482,-0.012630296,-0.018919373
19-feb-97,0.167683481,0.037954916,0.18386717,-0.007706185,-0.018130863
20-feb-97,0.170931092,0.048897609,0.184220924,-0.004644777,-0.017911756
21-feb-97,0.172762398,0.030588973,0.183737468,-0.006355481,-0.016048085
24-feb-97,0.172489799,0.021474305,0.18451704,-0.010900822,-0.01473651
25-feb-97,0.173116652,0.013190649,0.183460965,-0.013490097,-0.014063413
26-feb-97,0.17557529,0.035281078,0.186678934,-0.009143926,-0.010844141
27-feb-97,0.17653933,0.045262468,0.18814139,-0.007055774,-0.012776952
28-feb-97,0.175163433,0.042542786,0.187024361,-0.006975163,-0.013713205
03-mar-97,0.175929824,0.037589924,0.183256,-0.005450163,-0.013763675
04-mar-97,0.176224399,0.034818108,0.176928496,-0.002347439,-0.012481062
05-mar-97,0.178320214,0.009545347,0.174189061,-0.003185322,-0.015674978
06-mar-97,0.175357659,0.032280304,0.170943196,-0.011343266,-0.013937832
